date,AMZN,DPZ,BTC-USD,NFLX,RELIANCE.NS,INFY.NS,TCS.NS,HDFCBANK.NS
05/31/2022,120.20950317382812,348.78271484375,31792.310546875,197.44000244140625,1211.0162353515625,1424.52587890625,3235.06201171875,1354.703125
06/01/2022,121.68399810791016,346.5546875,29799.080078125,192.91000366210938,1211.4073486328125,1400.79345703125,3226.263671875,1360.4576416015625
06/02/2022,125.51100158691406,358.0984191894531,30467.48828125,205.08999633789062,1253.1751708984375,1428.6944580078125,3291.458251953125,1350.9481201171875
06/03/2022,122.3499984741211,353.5365905761719,29704.390625,198.97999572753906,1278.567138671875,1441.674072265625,3307.94921875,1346.2664794921875
06/06/2022,124.79000091552734,362.32415771484375,31370.671875,197.13999938964844,1273.0701904296875,1449.5848388671875,3299.102294921875,1344.4620361328125
06/07/2022,123.0,370.0168151855469,31155.478515625,198.61000061035156,1275.462158203125,1427.4630126953125,3233.475341796875,1329.0029296875
06/08/2022,121.18000030517578,368.7874755859375,30214.35546875,202.8300018310547,1253.060302734375,1421.1153564453125,3273.332275390625,1333.6845703125
06/09/2022,116.1500015258789,370.17047119140625,30111.998046875,192.77000427246094,1287.422119140625,1435.326416015625,3295.400390625,1343.73046875
06/10/2022,109.6500015258789,365.4261779785156,29083.8046875,182.94000244140625,1248.55224609375,1399.1353759765625,3230.782958984375,1317.786376953125
06/13/2022,103.66999816894531,365.5510559082031,22487.388671875,169.69000244140625,1224.93115234375,1349.5860595703125,3095.874267578125,1293.8905029296875
06/14/2022,102.30999755859375,363.2394714355469,22206.79296875,167.5399932861328,1208.9232177734375,1364.791748046875,3087.172119140625,1279.6505126953125
06/15/2022,107.66999816894531,371.2240905761719,22572.83984375,180.11000061035156,1194.2952880859375,1347.40673828125,3083.08544921875,1275.212646484375
06/16/2022,103.66000366210938,365.5702819824219,20381.650390625,173.35000610351562,1177.597412109375,1323.721435546875,3021.256591796875,1249.70751953125
06/17/2022,106.22000122070312,365.20428466796875,20471.482421875,175.50999450683594,1191.3973388671875,1314.34228515625,2970.197265625,1257.9490966796875
06/21/2022,108.68000030517578,372.12945556640625,20710.59765625,170.91000366210938,1188.683349609375,1373.6500244140625,3088.51806640625,1303.59521484375
06/22/2022,108.94999694824219,375.4042053222656,19987.029296875,178.88999938964844,1152.5733642578125,1361.6651611328125,3099.095703125,1297.4505615234375
06/23/2022,112.44000244140625,383.46588134765625,21085.876953125,181.7100067138672,1133.8743896484375,1376.06591796875,3181.646728515625,1302.229736328125
06/24/2022,116.45999908447266,381.93450927734375,21231.65625,190.85000610351562,1150.0205078125,1365.31298828125,3166.550048828125,1320.419921875
06/27/2022,113.22000122070312,382.9361267089844,20735.478515625,189.13999938964844,1146.616455078125,1397.0511474609375,3187.319580078125,1322.8094482421875
06/28/2022,107.4000015258789,376.3192443847656,20280.634765625,179.60000610351562,1162.7393798828125,1402.3092041015625,3190.636962890625,1312.7147216796875
06/29/2022,108.91999816894531,374.7107238769531,20104.0234375,178.36000061035156,1186.8663330078125,1386.2979736328125,3164.049560546875,1310.8126220703125
06/30/2022,106.20999908447266,375.35601806640625,19784.7265625,174.8699951171875,1193.996337890625,1385.01904296875,3141.549072265625,1314.762939453125
07/01/2022,109.55999755859375,388.7441101074219,19269.3671875,179.9499969482422,1107.99951171875,1401.5987548828125,3187.70458984375,1320.37109375
07/05/2022,113.5,382.1849060058594,20190.115234375,185.8800048828125,1119.29248046875,1398.330078125,3092.701416015625,1319.24951171875
07/06/2022,114.33000183105469,382.9265441894531,20548.24609375,184.05999755859375,1109.448486328125,1413.20458984375,3135.442626953125,1337.4395751953125
07/07/2022,116.33000183105469,390.6030578613281,21637.587890625,189.27000427246094,1098.5235595703125,1419.8836669921875,3161.502197265625,1361.38427734375
07/08/2022,115.54000091552734,386.56732177734375,21731.1171875,186.97999572753906,1100.0416259765625,1434.805419921875,3139.96240234375,1362.6522216796875
07/11/2022,111.75,382.6182861328125,19970.556640625,177.33999633789062,1114.9915771484375,1395.67724609375,2994.1396484375,1371.4791259765625
07/12/2022,109.22000122070312,377.07049560546875,19323.9140625,174.4499969482422,1113.4044189453125,1362.9443359375,2966.158447265625,1357.4830322265625
07/13/2022,110.4000015258789,386.5865478515625,20212.07421875,176.55999755859375,1093.6705322265625,1368.4866943359375,2921.973876953125,1324.3699951171875
07/14/2022,110.62999725341797,384.4483337402344,20569.919921875,174.77999877929688,1102.6865234375,1353.7071533203125,2891.122802734375,1317.73779296875
07/15/2022,113.55000305175781,391.62396240234375,20836.328125,189.11000061035156,1104.8255615234375,1355.1282958984375,2887.121826171875,1328.466552734375
07/18/2022,113.76000213623047,391.8262023925781,22485.689453125,190.9199981689453,1114.2325439453125,1411.5465087890625,2953.548583984375,1314.3240966796875
07/19/2022,118.20999908447266,395.1298828125,23389.43359375,201.6300048828125,1121.0635986328125,1406.098876953125,2963.9130859375,1314.8116455078125
07/20/2022,122.7699966430664,395.72705078125,23231.732421875,216.44000244140625,1151.3773193359375,1435.6107177734375,3051.213134765625,1331.3924560546875
07/21/2022,124.62999725341797,390.6993103027344,23164.62890625,223.8800048828125,1143.6954345703125,1452.2850341796875,3063.2646484375,1327.198486328125
07/22/2022,122.41999816894531,384.5639343261719,22714.978515625,220.44000244140625,1151.4234619140625,1427.083984375,3057.190673828125,1358.1656494140625
07/25/2022,121.13999938964844,373.6994323730469,21361.701171875,218.50999450683594,1113.3814697265625,1424.52587890625,3053.093017578125,1362.16455078125
07/26/2022,114.80999755859375,372.50506591796875,21239.75390625,213.91000366210938,1113.887451171875,1374.834228515625,3004.068115234375,1359.3848876953125
07/27/2022,120.97000122070312,378.51519775390625,22930.548828125,226.75,1112.82958984375,1393.6878662109375,3074.400146484375,1369.772216796875
07/28/2022,122.27999877929688,375.46209716796875,23843.88671875,226.02000427246094,1130.2635498046875,1437.60009765625,3143.47802734375,1381.915283203125
07/29/2022,134.9499969482422,377.66766357421875,23804.6328125,224.89999389648438,1154.3443603515625,1468.2015380859375,3183.392578125,1398.83740234375
08/01/2022,135.38999938964844,375.7509765625,23314.19921875,226.2100067138672,1184.4283447265625,1469.4805908203125,3180.40380859375,1410.492919921875
08/02/2022,134.16000366210938,376.666015625,22978.1171875,221.4199981689453,1188.936279296875,1462.42236328125,3173.655029296875,1394.98486328125
08/03/2022,139.52000427246094,376.5118103027344,22846.5078125,226.72999572753906,1198.9183349609375,1483.7392578125,3219.64306640625,1398.252197265625
08/04/2022,142.57000732421875,376.9259948730469,22630.95703125,229.91000366210938,1183.0712890625,1515.7615966796875,3234.538330078125,1396.5941162109375
08/05/2022,140.8000030517578,373.6416320800781,23289.314453125,226.77999877929688,1165.6373291015625,1531.630859375,3244.276123046875,1391.8638916015625
08/08/2022,139.41000366210938,380.34527587890625,23809.486328125,233.49000549316406,1180.8863525390625,1534.2359619140625,3253.3388671875,1426.0008544921875
08/10/2022,142.69000244140625,390.8053283691406,23947.642578125,244.11000061035156,1187.9473876953125,1518.177490234375,3233.863525390625,1430.14599609375
08/11/2022,140.63999938964844,389.2450256347656,23957.529296875,242.6999969482422,1191.9033203125,1534.7572021484375,3299.6640625,1449.0675048828125
08/12/2022,143.5500030517578,397.05621337890625,24402.818359375,249.3000030517578,1211.17724609375,1510.2664794921875,3279.46630859375,1448.5311279296875
08/16/2022,144.77999877929688,395.79443359375,23883.291015625,245.69000244140625,1219.59521484375,1512.4930419921875,3270.933837890625,1465.112060546875
08/17/2022,142.10000610351562,396.8153991699219,23335.998046875,241.14999389648438,1225.96630859375,1521.7777099609375,3279.032470703125,1472.6710205078125
08/18/2022,142.3000030517578,401.5927429199219,23212.73828125,245.1699981689453,1228.1895751953125,1499.702880859375,3259.89404296875,1474.426513671875
08/19/2022,138.22999572753906,390.2755432128906,20877.552734375,241.16000366210938,1206.2913818359375,1513.10888671875,3264.233154296875,1456.236572265625
08/22/2022,133.22000122070312,386.4324951171875,21398.908203125,226.5399932861328,1202.9454345703125,1492.786865234375,3234.153076171875,1434.0960693359375
08/23/2022,133.6199951171875,378.0047912597656,21528.087890625,224.5500030517578,1221.497802734375,1461.2855224609375,3166.71337890625,1429.658447265625
08/24/2022,133.8000030517578,382.3390197753906,21395.01953125,229.61000061035156,1218.244140625,1456.6431884765625,3138.51318359375,1436.5345458984375
08/25/2022,137.27999877929688,391.9803161621094,21600.904296875,233.97999572753906,1214.690673828125,1438.3109130859375,3102.6962890625,1428.731689453125
08/26/2022,130.75,375.9050598144531,20260.01953125,223.27999877929688,1208.20654296875,1441.5321044921875,3106.552734375,1428.9755859375
08/29/2022,129.7899932861328,364.568603515625,20297.994140625,224.57000732421875,1198.8150634765625,1384.8768310546875,3020.12109375,1403.9093017578125
08/30/2022,128.72999572753906,366.3600769042969,19796.80859375,220.64999389648438,1217.4134521484375,1414.43603515625,3095.899658203125,1449.457763671875
09/01/2022,127.81999969482422,357.9323425292969,20127.140625,230.0399932861328,1181.6241455078125,1387.197998046875,3019.30078125,1435.851806640625
09/02/2022,127.51000213623047,352.32672119140625,19969.771484375,226.11000061035156,1167.8253173828125,1376.5870361328125,3018.047607421875,1448.87255859375
09/06/2022,126.11000061035156,349.4082946777344,18837.66796875,218.38999938964844,1198.44580078125,1378.57666015625,3014.81787109375,1452.6275634765625
09/07/2022,129.47999572753906,349.2542419433594,19290.32421875,228.9600067138672,1191.4771728515625,1380.992431640625,3036.558837890625,1445.75146484375
09/08/2022,129.82000732421875,348.66668701171875,19329.833984375,227.44000244140625,1193.16162109375,1398.28271484375,3055.88916015625,1460.6741943359375
09/09/2022,133.27000427246094,353.59808349609375,21381.15234375,233.57000732421875,1185.7315673828125,1432.15283203125,3102.166015625,1461.6495361328125
09/12/2022,136.4499969482422,351.0168151855469,22370.44921875,236.52999877929688,1198.9996337890625,1455.4114990234375,3126.558349609375,1456.72412109375
09/13/2022,126.81999969482422,337.47467041015625,20296.70703125,218.1300048828125,1209.01416015625,1463.7012939453125,3113.446533203125,1475.7919921875
09/14/2022,128.5500030517578,328.7788391113281,20241.08984375,224.1199951171875,1194.5230712890625,1397.8089599609375,3008.406494140625,1490.9586181640625
09/15/2022,126.27999877929688,337.6969299316406,19701.2109375,235.3800048828125,1182.6856689453125,1357.449462890625,2992.932861328125,1483.2047119140625
09/16/2022,123.52999877929688,331.3779296875,19772.583984375,240.1300048828125,1153.38037109375,1304.63134765625,2900.715576171875,1455.94384765625
